tuning_scope,trial_number,best_iteration,best_cv_score,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,seed
full_data,7,568,0.3883769722254562,0.017398074711291726,10,16,0.9697494707820946,0.9474136752138245,0.002404915432737351,5.378131812538259,42
full_data,13,337,0.38917844071318797,0.04860222715760927,9,17,0.9234651056066276,0.9886397161046538,0.018970064740230618,0.00035450524489370446,42
full_data,14,256,0.39051782996165924,0.08143299472041352,9,17,0.9157382044349991,0.9769178985218316,0.05266755869515618,0.00024673560549711397,42
full_data,10,365,0.3911555839720136,0.046589863196059025,8,20,0.9775699684882246,0.8259332753890892,0.0015027010896820315,0.21499611376334174,42
full_data,12,430,0.39216447357098644,0.028972472655181273,8,20,0.9994317875019886,0.8101300233500726,0.009483754437776664,0.6005391644767485,42
full_data,11,210,0.3925719698463605,0.06485618348127581,8,20,0.9976897653993266,0.8395855451458042,0.0014813918131754476,0.1963512765912725,42
full_data,0,395,0.39683211705647903,0.030710573677773714,10,15,0.7993292420985183,0.5780093202212182,2.5348407664333426e-07,2.655034658589387e-06,42
full_data,3,1539,0.39721676810920054,0.01518747922672247,5,8,0.728034992108518,0.8925879806965068,6.267062696005991e-07,0.00568121283664997,42
full_data,9,1238,0.39750151227391695,0.02911701023242742,5,11,0.5704621124873813,0.9010984903770198,4.6876566400928895e-08,16.043204759900526,42
full_data,1,184,0.39842747141644946,0.13394334706750485,7,15,0.5102922471479012,0.9849549260809971,0.310444354994832,3.5505384187732815e-05,42
full_data,6,774,0.3987964083411118,0.011085122517311707,10,6,0.831261142176991,0.6558555380447055,0.0004793052550782129,0.00980727037423135,42
full_data,2,1968,0.4056094535750774,0.017240892195821537,4,7,0.762378215816119,0.7159725093210578,4.17890272377219e-06,0.029319484979510348,42
full_data,4,1636,0.4063451415502333,0.05898602410432694,3,13,0.5852620618436457,0.5325257964926398,3.4671276804481113,11.222986441621984,42
full_data,5,159,0.4066156012594908,0.11265466963346032,5,2,0.8421165132560784,0.7200762468698007,1.254134495897175e-07,0.00412383683842393,42
full_data,8,2000,0.4080458870155994,0.01303561122512888,4,1,0.6626651653816322,0.6943386448447411,2.7678419414850017e-06,1.1236664468691575,42
